1.0,0,1703.0,385.0,157.0,339.0
1.0,1,1293.0,455.0,83.0,213.0
1.0,2,259.0,449.0,101.0,261.0
1.0,3,1253.0,529.0,55.0,127.0
2.0,0,1699.0,383.0,159.0,341.0
2.0,1,1293.0,455.0,83.0,213.0
2.0,2,261.0,447.0,101.0,263.0
2.0,3,1253.0,529.0,55.0,127.0
3.0,0,1697.0,383.0,159.0,343.0
3.0,3,1293.0,455.0,83.0,213.0
3.0,2,263.0,447.0,101.0,263.0
3.0,1,1255.0,529.0,55.0,127.0
4.0,0,1695.0,383.0,159.0,343.0
4.0,3,1293.0,455.0,83.0,213.0
4.0,2,265.0,447.0,101.0,263.0
4.0,1,1257.0,529.0,55.0,127.0
5.0,0,1693.0,381.0,159.0,347.0
5.0,3,1295.0,455.0,83.0,213.0
5.0,2,267.0,447.0,101.0,263.0
5.0,1,1259.0,529.0,55.0,129.0
6.0,0,1689.0,381.0,161.0,349.0
6.0,3,1297.0,455.0,83.0,213.0
6.0,2,269.0,447.0,103.0,263.0
6.0,1,1261.0,529.0,55.0,129.0
7.0,0,1687.0,381.0,161.0,349.0
7.0,3,1299.0,455.0,83.0,213.0
7.0,2,271.0,447.0,103.0,263.0
7.0,1,1263.0,529.0,55.0,129.0
8.0,0,1685.0,379.0,161.0,353.0
8.0,3,1301.0,455.0,83.0,213.0
8.0,2,273.0,447.0,103.0,263.0
8.0,1,1265.0,529.0,55.0,131.0
9.0,0,1683.0,379.0,161.0,353.0
9.0,3,1303.0,455.0,83.0,213.0
9.0,2,275.0,447.0,103.0,263.0
9.0,1,1267.0,529.0,53.0,131.0
10.0,0,1679.0,379.0,163.0,355.0
10.0,3,1305.0,455.0,83.0,213.0
10.0,2,277.0,445.0,105.0,265.0
10.0,1,1269.0,529.0,53.0,131.0
11.0,0,1677.0,379.0,165.0,357.0
11.0,3,1307.0,455.0,83.0,213.0
11.0,2,279.0,445.0,105.0,265.0
11.0,1,1271.0,529.0,53.0,133.0
12.0,0,1675.0,377.0,165.0,359.0
12.0,3,1309.0,455.0,83.0,213.0
12.0,2,281.0,445.0,105.0,265.0
12.0,1,1273.0,529.0,53.0,133.0
13.0,0,1673.0,377.0,165.0,361.0
13.0,3,1313.0,455.0,83.0,215.0
13.0,2,283.0,445.0,105.0,265.0
13.0,1,1273.0,529.0,55.0,133.0
14.0,0,1669.0,377.0,167.0,361.0
14.0,3,1315.0,455.0,83.0,215.0
14.0,2,285.0,445.0,105.0,265.0
14.0,1,1275.0,529.0,55.0,135.0
15.0,0,1667.0,375.0,167.0,365.0
15.0,3,1317.0,455.0,83.0,215.0
15.0,2,287.0,445.0,107.0,265.0
15.0,1,1277.0,529.0,55.0,135.0
15.0,4,1797.0,441.0,73.0,183.0
16.0,0,1665.0,375.0,167.0,367.0
16.0,3,1319.0,455.0,83.0,215.0
16.0,2,291.0,445.0,105.0,265.0
16.0,1,1279.0,529.0,53.0,135.0
16.0,4,1797.0,439.0,73.0,183.0
17.0,0,1663.0,375.0,167.0,367.0
17.0,3,1321.0,455.0,83.0,215.0
17.0,2,293.0,445.0,105.0,265.0
17.0,1,1281.0,529.0,53.0,137.0
17.0,4,1799.0,439.0,73.0,183.0
18.0,0,1659.0,375.0,169.0,369.0
